"variable","percent.contribution","permutation.importance","ImpRank","PercContRank","modnr"
"EMPEdist",15.9145,17.2257,2,3,354
"distToShore",9.7668,9.3958,4,4,354
"ADPEdist",5.5381,4.6979,8,5,354
"EMPEabund",5.4507,7.8298,5,6,354
"Persistence2Years",4.3967,5.7419,7,7,354
"PredictabilityOct5Years",3.5756,2.088,11,8,354
"distNearestIceEdge",3.2996,6.7859,6,9,354
"DecemberIcePresence",3.0072,0,16,10,354
"InTrough",2.1346,0.522,14,11,354
"glacierdist",1.1425,2.7658,10,12,354
"meanslope",0.8696,4.1759,9,13,354
"ADPEabund",0.5049,1.566,12,14,354
"meanbathy",0.397,1.044,13,15,354
"fastIceRatio",0.0886,0.1441,15,16,354
"PredictabilityDec5Years",0,0,17,17,354
"cont300dist",22.8726,17.4344,2,1,355
"cont800dist",20.9449,23.0888,1,2,355
"distToShore",14.3506,8.0104,4,3,355
"EMPEabund",14.1787,5.1832,9,4,355
"EMPEdist",7.2785,12.7224,3,5,355
"distNearestIceEdge",6.3686,5.6544,6,6,355
"Persistence2Years",5.8736,6.5968,5,7,355
"PredictabilityOct5Years",2.2263,3.2984,10,8,355
"meanslope",1.2818,5.6544,7,9,355
"meanbathy",1.2623,0.4712,14,10,355
"fastIceRatio",1.2144,0,17,11,355
"ADPEabund",1.0463,2.356,11,12,355
"glacierdist",0.6495,1.9903,13,13,355
"ADPEdist",0.4153,5.1832,8,14,355
"InTrough",0.0366,0,16,15,355
"PredictabilityDec5Years",0,2.356,12,16,355
"DecemberIcePresence",0,0,15,17,355
"cont800dist",22.8943,22.2147,1,1,356
"cont300dist",21.0195,19.9362,2,2,356
"EMPEdist",15.9145,15.949,3,3,356
"distToShore",9.7668,11.3921,4,4,356
"ADPEdist",5.5381,2.2784,10,5,356
"EMPEabund",5.4507,4.5569,7,6,356
"Persistence2Years",4.3967,5.1265,6,7,356
"PredictabilityOct5Years",3.5756,2.848,9,8,356
"distNearestIceEdge",3.2996,6.2657,5,9,356
"DecemberIcePresence",3.0072,0,16,10,356
"InTrough",2.1346,0.5696,14,11,356
"glacierdist",1.1425,1.8704,11,12,356
"meanslope",0.8696,3.9872,8,13,356
"ADPEabund",0.5049,1.7088,12,14,356
"meanbathy",0.397,1.1392,13,15,356
"fastIceRatio",0.0886,0.1573,15,16,356
"PredictabilityDec5Years",0,0,17,17,356
"cont300dist",22.8726,17.8571,2,1,357
"cont800dist",20.9449,20.5357,1,2,357
"distToShore",14.3506,9.8214,4,3,357
"EMPEabund",14.1787,4.4643,8,4,357
"EMPEdist",7.2785,14.7321,3,5,357
"distNearestIceEdge",6.3686,4.9107,7,6,357
"Persistence2Years",5.8736,7.1429,5,7,357
"PredictabilityOct5Years",2.2263,2.6786,10,8,357
"meanslope",1.2818,6.6964,6,9,357
"meanbathy",1.2623,0.4464,15,10,357
"fastIceRatio",1.2144,1.7857,13,11,357
"ADPEabund",1.0463,2.2321,11,12,357
"glacierdist",0.6495,2.2321,12,13,357
"ADPEdist",0.4153,4.0179,9,14,357
"InTrough",0.0366,0,17,15,357
"PredictabilityDec5Years",0,0.4464,14,16,357
"DecemberIcePresence",0,0,16,17,357
"cont800dist",24.3178,23.6697,1,1,358
"cont300dist",20.0797,21.5601,3,2,358
"fastIceRatio",14.3899,1.9207,9,3,358
"EMPEdist",13.3518,22.3945,2,4,358
"distToShore",9.7491,2.9676,8,5,358
"PredictabilityOct5Years",6.2303,6.5727,5,6,358
"Persistence2Years",3.6357,9.0995,4,7,358
"ADPEdist",2.8276,0.7242,12,8,358
"distNearestIceEdge",1.5435,4.8804,6,9,358
"EMPEabund",1.4951,1.2752,11,10,358
"glacierdist",0.9749,1.4956,10,11,358
"PredictabilityDec5Years",0.7496,0,15,12,358
"ADPEabund",0.6549,3.4399,7,13,358
"DecemberIcePresence",0,0,13,14,358
"InTrough",0,0,14,15,358
"meanbathy",0,0,16,16,358
"meanslope",0,0,17,17,358
"cont800dist",22.8943,18.1751,1,1,359
"cont300dist",21.0195,17.6243,3,2,359
"EMPEdist",15.9145,17.6243,2,3,359
"distToShore",9.7668,14.8705,4,4,359
"ADPEdist",5.5381,1.6523,11,5,359
"EMPEabund",5.4507,8.8122,5,6,359
"Persistence2Years",4.3967,4.4061,7,7,359
"PredictabilityOct5Years",3.5756,3.3046,8,8,359
"distNearestIceEdge",3.2996,5.5076,6,9,359
"DecemberIcePresence",3.0072,0,16,10,359
"InTrough",2.1346,0.5508,14,11,359
"glacierdist",1.1425,1.8126,10,12,359
"meanslope",0.8696,3.3046,9,13,359
"ADPEabund",0.5049,1.1015,12,14,359
"meanbathy",0.397,1.1015,13,15,359
"fastIceRatio",0.0886,0.1521,15,16,359
"PredictabilityDec5Years",0,0,17,17,359
"cont800dist",22.8943,19.832,1,1,360
"cont300dist",21.0195,19.296,2,2,360
"EMPEdist",15.9145,15.008,4,3,360
"distToShore",9.7668,15.544,3,4,360
"ADPEdist",5.5381,2.68,11,5,360
"EMPEabund",5.4507,5.36,6,6,360
"Persistence2Years",4.3967,3.752,8,7,360
"PredictabilityOct5Years",3.5756,3.216,10,8,360
"distNearestIceEdge",3.2996,5.896,5,9,360
"DecemberIcePresence",3.0072,0,16,10,360
"InTrough",2.1346,0.536,13,11,360
"glacierdist",1.1425,3.908,7,12,360
"meanslope",0.8696,3.752,9,13,360
"ADPEabund",0.5049,0,15,14,360
"meanbathy",0.397,1.072,12,15,360
"fastIceRatio",0.0886,0.148,14,16,360
"PredictabilityDec5Years",0,0,17,17,360
"cont300dist",24.7612,17.8571,3,1,361
"cont800dist",23.3758,20.2381,1,2,361
"EMPEdist",16.6731,18.4524,2,3,361
"distToShore",9.0995,11.3095,4,4,361
"EMPEabund",5.9497,3.5714,8,5,361
"ADPEdist",4.8721,4.1667,7,6,361
"Persistence2Years",4.4266,5.9524,5,7,361
"distNearestIceEdge",3.6708,3.5714,9,8,361
"PredictabilityOct5Years",3.0451,5.3571,6,9,361
"glacierdist",1.1227,2.9762,10,10,361
"DecemberIcePresence",0.9072,1.7857,11,11,361
"InTrough",0.6558,1.1905,14,12,361
"fastIceRatio",0.6042,1.7857,12,13,361
"ADPEabund",0.5109,1.1905,13,14,361
"meanslope",0.3248,0.5952,15,15,361
"meanbathy",4e-04,0,17,16,361
"PredictabilityDec5Years",0,0,16,17,361
"cont800dist",22.8943,21.3265,1,1,362
"cont300dist",21.0195,15.9949,2,2,362
"EMPEdist",15.9145,14.3954,3,3,362
"distToShore",9.7668,12.2628,4,4,362
"ADPEdist",5.5381,4.2653,9,5,362
"EMPEabund",5.4507,6.398,5,6,362
"Persistence2Years",4.3967,6.398,6,7,362
"PredictabilityOct5Years",3.5756,5.3316,8,8,362
"distNearestIceEdge",3.2996,5.8648,7,9,362
"DecemberIcePresence",3.0072,0.5332,14,10,362
"InTrough",2.1346,0.5332,15,11,362
"glacierdist",1.1425,2.817,10,12,362
"meanslope",0.8696,1.0663,13,13,362
"ADPEabund",0.5049,1.5995,11,14,362
"meanbathy",0.397,1.0663,12,15,362
"fastIceRatio",0.0886,0.1472,16,16,362
"PredictabilityDec5Years",0,0,17,17,362
"cont300dist",22.8726,13.1579,3,1,363
"cont800dist",20.9449,19.2982,1,2,363
"distToShore",14.3506,13.1579,4,3,363
"EMPEabund",14.1787,5.7018,8,4,363
"EMPEdist",7.2785,13.5965,2,5,363
"distNearestIceEdge",6.3686,6.5789,6,6,363
"Persistence2Years",5.8736,8.3333,5,7,363
"PredictabilityOct5Years",2.2263,3.5088,9,8,363
"meanslope",1.2818,6.5789,7,9,363
"meanbathy",1.2623,0.4386,15,10,363
"fastIceRatio",1.2144,1.3158,14,11,363
"ADPEabund",1.0463,1.3158,13,12,363
"glacierdist",0.6495,2.193,11,13,363
"ADPEdist",0.4153,3.0702,10,14,363
"InTrough",0.0366,0,17,15,363
"PredictabilityDec5Years",0,1.7544,12,16,363
"DecemberIcePresence",0,0,16,17,363
"cont800dist",22.8943,19.6217,2,1,364
"cont300dist",21.0195,20.152,1,2,364
"EMPEdist",15.9145,15.9095,3,3,364
"distToShore",9.7668,10.076,4,4,364
"ADPEdist",5.5381,4.2425,8,5,364
"EMPEabund",5.4507,7.4244,5,6,364
"Persistence2Years",4.3967,4.7728,7,7,364
"PredictabilityOct5Years",3.5756,3.7122,9,8,364
"distNearestIceEdge",3.2996,5.8335,6,9,364
"DecemberIcePresence",3.0072,0.5303,14,10,364
"InTrough",2.1346,0,16,11,364
"glacierdist",1.1425,3.3362,10,12,364
"meanslope",0.8696,2.6516,11,13,364
"ADPEabund",0.5049,0.5303,13,14,364
"meanbathy",0.397,1.0606,12,15,364
"fastIceRatio",0.0886,0.1464,15,16,364
"PredictabilityDec5Years",0,0,17,17,364
"cont300dist",22.8726,16.8103,2,1,365
"cont800dist",20.9449,18.1034,1,2,365
"distToShore",14.3506,9.9138,4,3,365
"EMPEabund",14.1787,4.3103,8,4,365
"EMPEdist",7.2785,11.6379,3,5,365
"distNearestIceEdge",6.3686,7.3276,6,6,365
"Persistence2Years",5.8736,7.3276,5,7,365
"PredictabilityOct5Years",2.2263,3.4483,9,8,365
"meanslope",1.2818,6.8966,7,9,365
"meanbathy",1.2623,0.431,15,10,365
"fastIceRatio",1.2144,3.0172,12,11,365
"ADPEabund",1.0463,3.0172,10,12,365
"glacierdist",0.6495,2.1552,14,13,365
"ADPEdist",0.4153,2.5862,13,14,365
"InTrough",0.0366,0,17,15,365
"PredictabilityDec5Years",0,3.0172,11,16,365
"DecemberIcePresence",0,0,16,17,365
"cont800dist",22.8943,19.3438,1,1,366
"cont300dist",21.0195,17.7754,2,2,366
"EMPEdist",15.9145,14.1157,3,3,366
"distToShore",9.7668,13.5929,4,4,366
"ADPEdist",5.5381,3.6596,8,5,366
"EMPEabund",5.4507,7.8421,5,6,366
"Persistence2Years",4.3967,5.228,7,7,366
"PredictabilityOct5Years",3.5756,2.0912,11,8,366
"distNearestIceEdge",3.2996,6.2737,6,9,366
"DecemberIcePresence",3.0072,0.5228,14,10,366
"InTrough",2.1346,0.5228,15,11,366
"glacierdist",1.1425,3.6596,9,12,366
"meanslope",0.8696,3.1368,10,13,366
"ADPEabund",0.5049,1.0456,12,14,366
"meanbathy",0.397,1.0456,13,15,366
"fastIceRatio",0.0886,0.1444,16,16,366
"PredictabilityDec5Years",0,0,17,17,366
"cont300dist",24.7612,17.3653,2,1,367
"cont800dist",23.3758,23.9521,1,2,367
"EMPEdist",16.6731,15.5689,3,3,367
"distToShore",9.0995,11.976,4,4,367
"EMPEabund",5.9497,6.5868,5,5,367
"ADPEdist",4.8721,4.7904,6,6,367
"Persistence2Years",4.4266,4.1916,8,7,367
"distNearestIceEdge",3.6708,4.7904,7,8,367
"PredictabilityOct5Years",3.0451,1.1976,13,9,367
"glacierdist",1.1227,1.7964,11,10,367
"DecemberIcePresence",0.9072,2.3952,9,11,367
"InTrough",0.6558,2.3952,10,12,367
"fastIceRatio",0.6042,1.1976,14,13,367
"ADPEabund",0.5109,1.1976,12,14,367
"meanslope",0.3248,0.5988,15,15,367
"meanbathy",4e-04,0,17,16,367
"PredictabilityDec5Years",0,0,16,17,367
"cont800dist",22.8943,20.5724,1,1,368
"cont300dist",21.0195,17.4074,2,2,368
"EMPEdist",15.9145,15.8249,3,3,368
"distToShore",9.7668,14.2424,4,4,368
"ADPEdist",5.5381,3.165,10,5,368
"EMPEabund",5.4507,5.8025,5,6,368
"Persistence2Years",4.3967,2.11,11,7,368
"PredictabilityOct5Years",3.5756,3.6925,8,8,368
"distNearestIceEdge",3.2996,5.275,6,9,368
"DecemberIcePresence",3.0072,0.5275,14,10,368
"InTrough",2.1346,0,16,11,368
"glacierdist",1.1425,3.3224,9,12,368
"meanslope",0.8696,5.275,7,13,368
"ADPEabund",0.5049,1.5825,12,14,368
"meanbathy",0.397,1.055,13,15,368
"fastIceRatio",0.0886,0.1457,15,16,368
"PredictabilityDec5Years",0,0,17,17,368
"cont300dist",22.8726,15.3846,2,1,369
"cont800dist",20.9449,23.0769,1,2,369
"distToShore",14.3506,8.1197,5,3,369
"EMPEabund",14.1787,5.5556,7,4,369
"EMPEdist",7.2785,12.8205,3,5,369
"distNearestIceEdge",6.3686,4.2735,8,6,369
"Persistence2Years",5.8736,8.1197,4,7,369
"PredictabilityOct5Years",2.2263,1.7094,13,8,369
"meanslope",1.2818,6.8376,6,9,369
"meanbathy",1.2623,0.8547,15,10,369
"fastIceRatio",1.2144,1.7094,14,11,369
"ADPEabund",1.0463,2.1368,11,12,369
"glacierdist",0.6495,3.8462,9,13,369
"ADPEdist",0.4153,3.4188,10,14,369
"InTrough",0.0366,0,17,15,369
"PredictabilityDec5Years",0,2.1368,12,16,369
"DecemberIcePresence",0,0,16,17,369
"cont300dist",24.7612,18.0233,1,1,370
"cont800dist",23.3758,18.0233,2,2,370
"EMPEdist",16.6731,17.4419,3,3,370
"distToShore",9.0995,15.1163,4,4,370
"EMPEabund",5.9497,6.3953,5,5,370
"ADPEdist",4.8721,3.4884,8,6,370
"Persistence2Years",4.4266,4.6512,7,7,370
"distNearestIceEdge",3.6708,5.2326,6,8,370
"PredictabilityOct5Years",3.0451,3.4884,9,9,370
"glacierdist",1.1227,2.907,10,10,370
"DecemberIcePresence",0.9072,1.1628,13,11,370
"InTrough",0.6558,0,15,12,370
"fastIceRatio",0.6042,1.7442,11,13,370
"ADPEabund",0.5109,1.1628,12,14,370
"meanslope",0.3248,1.1628,14,15,370
"meanbathy",4e-04,0,17,16,370
"PredictabilityDec5Years",0,0,16,17,370
"cont300dist",23.0934,14.4186,3,1,371
"cont800dist",20.8105,20.4651,1,2,371
"distToShore",14.2755,8.3721,5,3,371
"EMPEabund",14.1495,6.0465,6,4,371
"EMPEdist",7.3513,14.4186,2,5,371
"distNearestIceEdge",6.3363,6.0465,7,6,371
"Persistence2Years",5.8438,8.8372,4,7,371
"PredictabilityOct5Years",2.215,2.3256,12,8,371
"meanslope",1.2998,5.1163,8,9,371
"meanbathy",1.2559,0.4651,15,10,371
"fastIceRatio",1.2082,0.4651,14,11,371
"ADPEabund",1.0386,1.8605,13,12,371
"glacierdist",0.6396,4.186,10,13,371
"ADPEdist",0.4824,4.186,9,14,371
"PredictabilityDec5Years",0,2.7907,11,15,371
"DecemberIcePresence",0,0,16,16,371
"InTrough",0,0,17,17,371
"cont300dist",24.7612,18.5273,2,1,372
"cont800dist",23.3758,22.7109,1,2,372
"EMPEdist",16.6731,17.9296,3,3,372
"distToShore",9.0995,8.9648,4,4,372
"EMPEabund",5.9497,5.9765,6,5,372
"ADPEdist",4.8721,6.5742,5,6,372
"Persistence2Years",4.4266,5.9765,7,7,372
"distNearestIceEdge",3.6708,3.5859,9,8,372
"PredictabilityOct5Years",3.0451,3.5859,8,9,372
"glacierdist",1.1227,1.1953,13,10,372
"DecemberIcePresence",0.9072,1.1953,11,11,372
"InTrough",0.6558,1.1953,12,12,372
"fastIceRatio",0.6042,1.793,10,13,372
"ADPEabund",0.5109,0.5977,14,14,372
"meanslope",0.3248,0.1918,15,15,372
"meanbathy",4e-04,0,17,16,372
"PredictabilityDec5Years",0,0,16,17,372
"cont300dist",24.7612,17.0455,3,1,373
"cont800dist",23.3758,21.5909,1,2,373
"EMPEdist",16.6731,18.75,2,3,373
"distToShore",9.0995,10.7955,4,4,373
"EMPEabund",5.9497,6.25,5,5,373
"ADPEdist",4.8721,2.8409,8,6,373
"Persistence2Years",4.4266,5.6818,6,7,373
"distNearestIceEdge",3.6708,2.8409,9,8,373
"PredictabilityOct5Years",3.0451,5.1136,7,9,373
"glacierdist",1.1227,2.2727,11,10,373
"DecemberIcePresence",0.9072,2.2727,10,11,373
"InTrough",0.6558,1.7045,12,12,373
"fastIceRatio",0.6042,1.7045,13,13,373
"ADPEabund",0.5109,0,15,14,373
"meanslope",0.3248,1.1364,14,15,373
"meanbathy",4e-04,0,17,16,373
"PredictabilityDec5Years",0,0,16,17,373
"cont800dist",22.8943,21.3257,1,1,374
"cont300dist",21.0195,15.9943,3,2,374
"EMPEdist",15.9145,15.9943,2,3,374
"distToShore",9.7668,14.3948,4,4,374
"ADPEdist",5.5381,3.732,7,5,374
"EMPEabund",5.4507,7.464,5,6,374
"Persistence2Years",4.3967,2.1326,11,7,374
"PredictabilityOct5Years",3.5756,2.1326,12,8,374
"distNearestIceEdge",3.2996,6.3977,6,9,374
"DecemberIcePresence",3.0072,0.5331,14,10,374
"InTrough",2.1346,0.5331,15,11,374
"glacierdist",1.1425,2.8209,9,12,374
"meanslope",0.8696,3.1989,8,13,374
"ADPEabund",0.5049,2.1326,10,14,374
"meanbathy",0.397,1.0663,13,15,374
"fastIceRatio",0.0886,0.1472,16,16,374
"PredictabilityDec5Years",0,0,17,17,374
"cont300dist",24.7612,17.2619,3,1,375
"cont800dist",23.3758,20.2381,1,2,375
"EMPEdist",16.6731,17.8571,2,3,375
"distToShore",9.0995,15.4762,4,4,375
"EMPEabund",5.9497,7.1429,5,5,375
"ADPEdist",4.8721,4.1667,7,6,375
"Persistence2Years",4.4266,5.9524,6,7,375
"distNearestIceEdge",3.6708,1.7857,9,8,375
"PredictabilityOct5Years",3.0451,3.5714,8,9,375
"glacierdist",1.1227,1.1905,13,10,375
"DecemberIcePresence",0.9072,0.5952,14,11,375
"InTrough",0.6558,0,15,12,375
"fastIceRatio",0.6042,1.7857,10,13,375
"ADPEabund",0.5109,1.1905,12,14,375
"meanslope",0.3248,1.7857,11,15,375
"meanbathy",4e-04,0,17,16,375
"PredictabilityDec5Years",0,0,16,17,375
"cont300dist",24.7612,15.5556,2,1,376
"cont800dist",23.3758,22.2222,1,2,376
"EMPEdist",16.6731,14.4444,3,3,376
"distToShore",9.0995,9.4444,4,4,376
"EMPEabund",5.9497,4.4444,9,5,376
"ADPEdist",4.8721,4.4444,8,6,376
"Persistence2Years",4.4266,6.6667,5,7,376
"distNearestIceEdge",3.6708,5,7,8,376
"PredictabilityOct5Years",3.0451,6.1111,6,9,376
"glacierdist",1.1227,3.3333,10,10,376
"DecemberIcePresence",0.9072,1.6667,13,11,376
"InTrough",0.6558,1.1111,15,12,376
"fastIceRatio",0.6042,1.6667,14,13,376
"ADPEabund",0.5109,1.6667,12,14,376
"meanslope",0.3248,2.2222,11,15,376
"meanbathy",4e-04,0,17,16,376
"PredictabilityDec5Years",0,0,16,17,376
"cont800dist",22.8943,19.4824,1,1,377
"cont300dist",21.0195,17.6993,2,2,377
"EMPEdist",15.9145,16.5931,3,3,377
"distToShore",9.7668,10.5089,4,4,377
"ADPEdist",5.5381,2.7655,10,5,377
"EMPEabund",5.4507,6.6372,6,6,377
"Persistence2Years",4.3967,4.9779,7,7,377
"PredictabilityOct5Years",3.5756,2.7655,11,8,377
"distNearestIceEdge",3.2996,7.1903,5,9,377
"DecemberIcePresence",3.0072,1.1062,13,10,377
"InTrough",2.1346,0.5531,15,11,377
"glacierdist",1.1425,4.0368,8,12,377
"meanslope",0.8696,3.3186,9,13,377
"ADPEabund",0.5049,1.1062,12,14,377
"meanbathy",0.397,1.1062,14,15,377
"fastIceRatio",0.0886,0.1527,16,16,377
"PredictabilityDec5Years",0,0,17,17,377
"cont300dist",24.7612,18.5393,1,1,378
"cont800dist",23.3758,18.5393,2,2,378
"EMPEdist",16.6731,14.6067,3,3,378
"distToShore",9.0995,6.7416,6,4,378
"EMPEabund",5.9497,7.3034,4,5,378
"ADPEdist",4.8721,4.4944,9,6,378
"Persistence2Years",4.4266,6.1798,7,7,378
"distNearestIceEdge",3.6708,5.0562,8,8,378
"PredictabilityOct5Years",3.0451,7.3034,5,9,378
"glacierdist",1.1227,4.4944,10,10,378
"DecemberIcePresence",0.9072,0.5618,14,11,378
"InTrough",0.6558,0.5618,15,12,378
"fastIceRatio",0.6042,1.6854,13,13,378
"ADPEabund",0.5109,1.6854,12,14,378
"meanslope",0.3248,2.2472,11,15,378
"meanbathy",4e-04,0,17,16,378
"PredictabilityDec5Years",0,0,16,17,378
"cont800dist",23.1428,20.1878,1,1,379
"cont300dist",23.0613,19.2488,2,2,379
"EMPEdist",11.9798,14.0845,3,3,379
"Persistence2Years",11.2768,2.3474,11,4,379
"distToShore",8.9947,12.2066,4,5,379
"ADPEdist",4.307,5.1643,6,6,379
"PredictabilityOct5Years",4.2412,2.8169,10,7,379
"distNearestIceEdge",4.0225,4.2254,7,8,379
"EMPEabund",3.7739,6.5728,5,9,379
"glacierdist",1.7155,3.2864,9,10,379
"fastIceRatio",1.2138,3.7559,8,11,379
"ADPEabund",1.1951,1.4085,13,12,379
"meanslope",0.4271,1.8779,12,13,379
"meanbathy",0.3385,0.939,15,14,379
"PredictabilityDec5Years",0.2504,1.4085,14,15,379
"DecemberIcePresence",0.0597,0.4695,16,16,379
"InTrough",0,0,17,17,379
"cont300dist",24.7612,21.2291,2,1,380
"cont800dist",23.3758,21.7877,1,2,380
"EMPEdist",16.6731,14.5251,3,3,380
"distToShore",9.0995,8.3799,4,4,380
"EMPEabund",5.9497,3.352,9,5,380
"ADPEdist",4.8721,5.5866,6,6,380
"Persistence2Years",4.4266,6.1453,5,7,380
"distNearestIceEdge",3.6708,4.4693,7,8,380
"PredictabilityOct5Years",3.0451,3.9106,8,9,380
"glacierdist",1.1227,2.7933,11,10,380
"DecemberIcePresence",0.9072,1.1173,13,11,380
"InTrough",0.6558,1.1173,14,12,380
"fastIceRatio",0.6042,1.676,12,13,380
"ADPEabund",0.5109,2.7933,10,14,380
"meanslope",0.3248,1.1173,15,15,380
"meanbathy",4e-04,0,17,16,380
"PredictabilityDec5Years",0,0,16,17,380
"cont300dist",24.7612,21.9355,1,1,381
"cont800dist",23.3758,21.2903,2,2,381
"EMPEdist",16.6731,16.129,3,3,381
"distToShore",9.0995,7.7419,4,4,381
"EMPEabund",5.9497,6.4516,6,5,381
"ADPEdist",4.8721,6.4516,5,6,381
"Persistence2Years",4.4266,5.1613,7,7,381
"distNearestIceEdge",3.6708,3.2258,9,8,381
"PredictabilityOct5Years",3.0451,3.2258,8,9,381
"glacierdist",1.1227,2.5806,10,10,381
"DecemberIcePresence",0.9072,0.6452,15,11,381
"InTrough",0.6558,1.2903,12,12,381
"fastIceRatio",0.6042,1.9355,11,13,381
"ADPEabund",0.5109,0.6452,14,14,381
"meanslope",0.3248,1.2903,13,15,381
"meanbathy",4e-04,0,17,16,381
"PredictabilityDec5Years",0,0,16,17,381
"cont300dist",24.7612,17.5141,3,1,382
"cont800dist",23.3758,19.774,1,2,382
"EMPEdist",16.6731,17.5141,2,3,382
"distToShore",9.0995,10.1695,4,4,382
"EMPEabund",5.9497,6.2147,6,5,382
"ADPEdist",4.8721,5.6497,7,6,382
"Persistence2Years",4.4266,7.3446,5,7,382
"distNearestIceEdge",3.6708,3.9548,9,8,382
"PredictabilityOct5Years",3.0451,4.5198,8,9,382
"glacierdist",1.1227,3.3898,10,10,382
"DecemberIcePresence",0.9072,0.565,14,11,382
"InTrough",0.6558,0,15,12,382
"fastIceRatio",0.6042,1.6949,11,13,382
"ADPEabund",0.5109,0.565,13,14,382
"meanslope",0.3248,1.1299,12,15,382
"meanbathy",4e-04,0,17,16,382
"PredictabilityDec5Years",0,0,16,17,382
"cont300dist",24.7612,19.2982,2,1,383
"cont800dist",23.3758,19.883,1,2,383
"EMPEdist",16.6731,15.2047,3,3,383
"distToShore",9.0995,11.1111,4,4,383
"EMPEabund",5.9497,5.848,6,5,383
"ADPEdist",4.8721,5.2632,8,6,383
"Persistence2Years",4.4266,7.6023,5,7,383
"distNearestIceEdge",3.6708,4.0936,9,8,383
"PredictabilityOct5Years",3.0451,5.848,7,9,383
"glacierdist",1.1227,1.7544,11,10,383
"DecemberIcePresence",0.9072,0.5848,13,11,383
"InTrough",0.6558,0.5848,14,12,383
"fastIceRatio",0.6042,1.7544,10,13,383
"ADPEabund",0.5109,1.1696,12,14,383
"meanslope",0.3248,0,17,15,383
"meanbathy",4e-04,0,16,16,383
"PredictabilityDec5Years",0,0,15,17,383
"cont300dist",24.7612,17.1598,2,1,384
"cont800dist",23.3758,15.9763,3,2,384
"EMPEdist",16.6731,18.3432,1,3,384
"distToShore",9.0995,14.7929,4,4,384
"EMPEabund",5.9497,4.142,7,5,384
"ADPEdist",4.8721,2.9586,9,6,384
"Persistence2Years",4.4266,9.4675,5,7,384
"distNearestIceEdge",3.6708,4.142,8,8,384
"PredictabilityOct5Years",3.0451,7.1006,6,9,384
"glacierdist",1.1227,2.3669,11,10,384
"DecemberIcePresence",0.9072,0,14,11,384
"InTrough",0.6558,0,15,12,384
"fastIceRatio",0.6042,2.3669,10,13,384
"ADPEabund",0.5109,0.5917,12,14,384
"meanslope",0.3248,0.5917,13,15,384
"meanbathy",4e-04,0,17,16,384
"PredictabilityDec5Years",0,0,16,17,384
"cont300dist",23.0934,14.8837,2,1,385
"cont800dist",20.8105,21.3953,1,2,385
"distToShore",14.2755,12.5581,3,3,385
"EMPEabund",14.1495,5.1163,8,4,385
"EMPEdist",7.3513,12.093,4,5,385
"distNearestIceEdge",6.3363,6.0465,6,6,385
"Persistence2Years",5.8438,7.4419,5,7,385
"PredictabilityOct5Years",2.215,2.3256,10,8,385
"meanslope",1.2998,5.1163,9,9,385
"meanbathy",1.2559,0.4651,15,10,385
"fastIceRatio",1.2082,1.3953,14,11,385
"ADPEabund",1.0386,1.8605,12,12,385
"glacierdist",0.6396,2.3256,11,13,385
"ADPEdist",0.4824,5.1163,7,14,385
"PredictabilityDec5Years",0,1.8605,13,15,385
"DecemberIcePresence",0,0,16,16,385
"InTrough",0,0,17,17,385
"cont800dist",22.8943,18.2525,2,1,386
"cont300dist",21.0195,18.7893,1,2,386
"EMPEdist",15.9145,16.642,3,3,386
"distToShore",9.7668,10.7367,4,4,386
"ADPEdist",5.5381,6.442,5,5,386
"EMPEabund",5.4507,5.3684,8,6,386
"Persistence2Years",4.3967,5.9052,6,7,386
"PredictabilityOct5Years",3.5756,1.6105,11,8,386
"distNearestIceEdge",3.2996,5.9052,7,9,386
"DecemberIcePresence",3.0072,0,16,10,386
"InTrough",2.1346,0.5368,13,11,386
"glacierdist",1.1425,4.2947,9,12,386
"meanslope",0.8696,4.2947,10,13,386
"ADPEabund",0.5049,0,15,14,386
"meanbathy",0.397,1.0737,12,15,386
"fastIceRatio",0.0886,0.1482,14,16,386
"PredictabilityDec5Years",0,0,17,17,386
"cont800dist",22.8943,19.5359,1,1,387
"cont300dist",21.0195,17.3652,2,2,387
"EMPEdist",15.9145,15.7373,3,3,387
"distToShore",9.7668,14.6519,4,4,387
"ADPEdist",5.5381,2.7133,10,5,387
"EMPEabund",5.4507,5.9693,6,6,387
"Persistence2Years",4.3967,4.3413,8,7,387
"PredictabilityOct5Years",3.5756,4.3413,9,8,387
"distNearestIceEdge",3.2996,6.512,5,9,387
"DecemberIcePresence",3.0072,0.5427,14,10,387
"InTrough",2.1346,0.5427,15,11,387
"glacierdist",1.1425,1.0853,11,12,387
"meanslope",0.8696,4.884,7,13,387
"ADPEabund",0.5049,0.5427,13,14,387
"meanbathy",0.397,1.0853,12,15,387
"fastIceRatio",0.0886,0.1498,16,16,387
"PredictabilityDec5Years",0,0,17,17,387
"cont300dist",22.8726,14.3498,2,1,388
"cont800dist",20.9449,25.1121,1,2,388
"distToShore",14.3506,8.9686,4,3,388
"EMPEabund",14.1787,5.3812,9,4,388
"EMPEdist",7.2785,11.6592,3,5,388
"distNearestIceEdge",6.3686,7.6233,5,6,388
"Persistence2Years",5.8736,6.7265,6,7,388
"PredictabilityOct5Years",2.2263,2.6906,10,8,388
"meanslope",1.2818,5.8296,8,9,388
"meanbathy",1.2623,0.4484,14,10,388
"fastIceRatio",1.2144,0,17,11,388
"ADPEabund",1.0463,2.2422,11,12,388
